,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
301,2017-07-12,182000,76,Appartement,3.044381,50.626486
303,2017-07-10,262000,82,Appartement,3.053417,50.628786
304,2017-07-03,327000,126,Maison,3.102371,50.631897
305,2017-07-24,530000,45,Appartement,3.050109,50.626799
306,2017-07-24,530000,45,Appartement,3.050109,50.626799
309,2017-07-19,116000,39,Appartement,3.054752,50.629671
311,2017-07-11,188700,68,Appartement,3.080442,50.622551
313,2017-07-10,78000,36,Maison,3.058683,50.622649
314,2017-07-17,226800,79,Appartement,3.056801,50.633275
315,2017-07-19,233000,144,Maison,3.08971,50.654073
319,2017-07-13,154500,48,Appartement,3.045332,50.626984
320,2017-07-13,385000,105,Appartement,3.068008,50.635032
322,2017-07-18,155000,54,Appartement,3.05649,50.648933
323,2017-07-24,99650,26,Appartement,3.039783,50.622673
328,2017-07-04,100000,65,Maison,3.099131,50.621737
329,2017-07-03,135000,30,Appartement,3.055312,50.632517
331,2017-07-03,150000,62,Appartement,3.026944,50.635163
332,2017-07-24,310000,29,Appartement,3.063191,50.624926
333,2017-07-24,310000,25,Appartement,3.063191,50.624926
334,2017-07-24,310000,25,Appartement,3.063191,50.624926
335,2017-07-12,195500,34,Appartement,3.029126,50.633852
339,2017-07-12,195500,43,Appartement,3.029126,50.633852
340,2017-07-12,195500,34,Appartement,3.029126,50.633852
341,2017-07-05,229000,62,Appartement,3.059048,50.640004
344,2017-07-21,145150,51,Appartement,3.051225,50.624743
345,2017-07-07,105000,44,Maison,3.060665,50.61829
346,2017-07-17,255000,120,Maison,3.106312,50.627424
348,2017-07-07,70000,33,Appartement,3.045828,50.627622
350,2017-07-17,172200,58,Appartement,3.054005,50.624346
352,2017-07-24,170000,58,Appartement,3.086491,50.646445
353,2017-07-17,247000,75,Appartement,3.057633,50.633654
354,2017-07-13,48000,20,Appartement,3.056957,50.629814
356,2017-07-12,135000,52,Appartement,3.055011,50.620599
357,2017-07-10,133500,36,Appartement,3.0541,50.634587
358,2017-07-19,98000,18,Appartement,3.05652,50.627501
359,2017-07-06,151500,66,Appartement,3.044381,50.626486
360,2017-07-19,125000,30,Appartement,3.064379,50.627627
362,2017-07-12,142500,46,Appartement,3.079596,50.639582
363,2017-07-06,80000,25,Appartement,3.03887,50.624348
364,2017-07-12,222000,1,Appartement,3.049148,50.620019
365,2017-07-12,222000,1,Appartement,3.049148,50.620019
366,2017-07-12,222000,1,Appartement,3.049148,50.620019
367,2017-07-12,222000,24,Appartement,3.049151,50.620057
368,2017-07-12,222000,20,Appartement,3.049151,50.620057
369,2017-07-12,222000,20,Appartement,3.049151,50.620057
370,2017-07-12,222000,20,Appartement,3.049151,50.620057
371,2017-07-12,222000,50,Appartement,3.049151,50.620057
372,2017-07-12,222000,45,Appartement,3.049151,50.620057
373,2017-07-21,112000,24,Appartement,3.06098,50.636676
374,2017-07-20,145000,38,Appartement,3.057471,50.63015
375,2017-07-18,353500,38,Appartement,3.05244,50.631195
376,2017-07-18,353500,38,Appartement,3.05244,50.631195
377,2017-07-18,353500,30,Appartement,3.05244,50.631195
378,2017-07-06,60000,29,Appartement,3.059473,50.619729
379,2017-07-05,123000,40,Appartement,3.059784,50.626228
381,2017-07-10,130000,41,Appartement,3.028132,50.617579
382,2017-07-10,130000,41,Appartement,3.028132,50.617579
383,2017-07-10,171400,51,Appartement,3.059952,50.646275
385,2017-07-21,179000,63,Appartement,3.03373,50.627021
386,2017-07-10,96000,50,Maison,3.020885,50.636117
387,2017-07-24,102000,26,Appartement,3.050839,50.631582
389,2017-07-25,227500,97,Appartement,3.03893,50.622933
391,2017-07-25,205000,49,Appartement,3.068826,50.636272
392,2017-07-03,101000,55,Appartement,3.092104,50.646825
396,2017-07-04,333000,70,Appartement,3.084662,50.64804
397,2017-07-06,600000,114,Appartement,3.084662,50.64804
399,2017-07-21,186200,96,Maison,3.098055,50.621929
400,2017-07-12,198700,62,Appartement,3.050076,50.624862
401,2017-07-27,189100,75,Maison,3.027168,50.631071
403,2017-07-12,145000,48,Appartement,3.027395,50.635268
404,2017-07-26,122846,47,Appartement,3.068525,50.623638
406,2017-07-20,89500,26,Appartement,3.040317,50.625275
407,2017-07-27,80000,72,Maison,3.097645,50.620995
408,2017-07-26,139500,48,Appartement,3.052991,50.635947
410,2017-07-13,192000,80,Maison,3.030168,50.622796
412,2017-07-13,229000,99,Appartement,3.0852,50.652871
413,2017-07-20,140000,85,Maison,3.046463,50.614459
415,2017-07-25,78000,18,Appartement,3.075192,50.63467
416,2017-07-25,126000,29,Appartement,3.050839,50.631582
422,2017-07-25,164200,49,Appartement,3.068928,50.63633
423,2017-07-27,100000,35,Appartement,3.083608,50.638995
425,2017-07-25,244100,71,Appartement,3.06101,50.634918
427,2017-07-21,225410,70,Appartement,3.080442,50.622551
436,2017-07-27,583300,175,Maison,3.037653,50.627995
438,2017-07-13,126000,25,Appartement,3.059196,50.643284
439,2017-07-24,305000,143,Maison,3.094476,50.623487
441,2017-07-21,155500,70,Appartement,3.085735,50.630634
443,2017-07-26,125000,30,Appartement,3.085728,50.635819
