,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
32589,2020-02-12,76000,26,Appartement,3.05016,50.626865
32590,2020-01-29,59500,15,Maison,3.051052,50.620251
32591,2020-01-29,119000,18,Maison,3.051152,50.620274
32592,2020-01-29,119000,18,Maison,3.051098,50.620261
32594,2020-02-12,87000,22,Appartement,3.075292,50.637407
32595,2020-02-03,215000,55,Appartement,3.062039,50.629028
32596,2020-02-06,957000,302,Maison,3.049059,50.630211
32598,2020-02-18,170000,49,Appartement,3.057828,50.647254
32600,2020-01-06,130975,54,Appartement,3.025651,50.631416
32603,2020-02-05,189000,25,Appartement,3.04475,50.621677
32604,2020-02-14,432000,85,Appartement,3.053217,50.636145
32605,2020-02-07,224000,51,Appartement,3.059666,50.648226
32607,2020-02-14,765000,168,Maison,3.063242,50.626399
32609,2020-01-24,693000,235,Maison,3.055746,50.632244
32610,2020-02-03,550000,12,Appartement,3.049728,50.619028
32611,2020-02-03,550000,35,Appartement,3.049728,50.619028
32612,2020-02-03,550000,35,Appartement,3.049728,50.619028
32613,2020-02-03,550000,20,Appartement,3.049728,50.619028
32614,2020-02-03,550000,35,Appartement,3.049728,50.619028
32616,2020-02-03,550000,35,Appartement,3.049728,50.619028
32617,2020-02-03,550000,35,Appartement,3.049728,50.619028
32618,2020-02-03,550000,35,Appartement,3.049728,50.619028
32619,2020-02-03,550000,35,Appartement,3.049728,50.619028
32620,2020-02-19,2100,61,Appartement,3.114637,50.634863
32622,2020-02-19,127900,63,Appartement,3.114637,50.634863
32623,2020-02-12,142000,42,Appartement,3.068037,50.625281
32624,2020-02-17,534500,120,Appartement,3.061433,50.637685
32626,2020-02-14,768500,257,Maison,3.033467,50.625144
32627,2020-02-14,298000,92,Appartement,3.073537,50.620595
32629,2020-02-14,130000,71,Appartement,3.044381,50.626486
32631,2020-02-14,99000,27,Appartement,3.060061,50.620912
32635,2020-02-17,198000,45,Appartement,3.061908,50.648026
32641,2020-01-29,435000,112,Appartement,3.054796,50.63446
32642,2020-02-04,244000,65,Appartement,3.054196,50.619443
32644,2020-02-19,214250,75,Appartement,3.018362,50.63506
32647,2020-02-05,143304,46,Appartement,3.060979,50.611545
32649,2020-02-19,130000,31,Appartement,3.06549,50.612929
32650,2020-02-14,150000,21,Appartement,3.042188,50.62122
32652,2020-02-14,150000,31,Appartement,3.042188,50.62122
32653,2020-02-14,150000,21,Appartement,3.042188,50.62122
32656,2020-02-19,245000,69,Appartement,3.06549,50.612929
32657,2020-02-10,150000,48,Appartement,3.073652,50.620153
32660,2020-02-06,115000,45,Appartement,3.071468,50.622189
32664,2020-02-14,420000,110,Maison,3.085285,50.640062
32666,2020-02-03,247000,65,Appartement,3.054196,50.619443
32668,2020-01-28,73000,37,Appartement,3.073005,50.618554
32670,2020-02-04,180000,74,Maison,3.030355,50.622681
32672,2020-01-29,100000,35,Appartement,3.059587,50.627517
32674,2020-02-18,150000,45,Appartement,3.04776,50.630099
32675,2020-02-10,205000,70,Appartement,3.089481,50.652476
32677,2020-02-04,2000,63,Appartement,3.114637,50.634863
32678,2020-02-04,124000,61,Appartement,3.114637,50.634863
32681,2020-02-05,293000,100,Appartement,3.100511,50.634025
32683,2020-02-07,100000,27,Appartement,3.060513,50.641258
32684,2020-02-19,160600,65,Appartement,3.03893,50.622933
32685,2020-02-10,1127315,180,Maison,3.056967,50.644179
32687,2020-02-05,389000,119,Maison,3.042576,50.631589
32688,2020-02-03,105000,28,Appartement,3.028911,50.618142
32689,2020-02-03,105000,25,Appartement,3.028911,50.618142
32690,2020-02-19,149000,34,Appartement,3.062067,50.629919
32693,2020-02-14,497000,116,Appartement,3.056803,50.633434
32695,2020-02-05,353000,100,Appartement,3.054196,50.619443
32698,2020-02-11,20000,176,Appartement,3.070995,50.633053
32701,2020-02-10,189300,30,Appartement,3.063219,50.63854
32702,2020-02-05,140000,48,Appartement,3.065157,50.634443
32703,2020-02-24,105000,69,Maison,3.026663,50.629968
32704,2020-01-30,450000,48,Appartement,3.087219,50.638175
32705,2020-01-30,450000,55,Appartement,3.087219,50.638175
32706,2020-01-30,450000,52,Appartement,3.087219,50.638175
32707,2020-01-30,450000,55,Appartement,3.087219,50.638175
32708,2020-02-20,205000,71,Appartement,3.067058,50.632064
32710,2020-02-17,190500,48,Appartement,3.052827,50.629891
32712,2020-02-12,95000,24,Appartement,3.055989,50.631781
32713,2020-01-29,112500,48,Appartement,3.060842,50.618817
32714,2020-02-13,330000,162,Maison,3.027367,50.617492
32716,2020-01-31,263000,121,Maison,3.106454,50.630995
32718,2020-02-21,266000,70,Appartement,3.058798,50.643927
32719,2020-02-07,168000,40,Maison,3.08524,50.635381
32720,2020-02-07,150000,41,Appartement,3.054749,50.641012
32721,2020-02-07,320000,110,Appartement,3.08611,50.655701
32722,2020-02-10,1025000,18,Appartement,3.056034,50.630765
32723,2020-02-10,1025000,18,Appartement,3.056034,50.630765
32725,2020-02-10,1025000,36,Appartement,3.056034,50.630765
32726,2020-02-10,1025000,36,Appartement,3.056034,50.630765
32727,2020-02-10,1025000,27,Appartement,3.056034,50.630765
32728,2020-02-10,1025000,50,Appartement,3.056034,50.630765
32729,2020-02-18,122000,28,Appartement,3.067464,50.637241
32730,2020-02-13,238000,54,Appartement,3.052912,50.631733
32732,2020-02-21,162000,62,Appartement,3.087801,50.643645
32733,2020-01-31,100000,33,Appartement,3.045582,50.605684
32735,2020-02-12,130000,32,Maison,3.093555,50.646356
32739,2020-02-12,587500,90,Appartement,3.061723,50.638722
32741,2020-02-25,114500,48,Appartement,3.116943,50.62645
32742,2020-02-20,77000,28,Appartement,3.057617,50.620094
32743,2020-02-21,92000,56,Maison,3.093379,50.623715
32744,2020-02-13,390000,81,Appartement,3.05562,50.636005
32749,2020-02-19,175850,97,Maison,3.1132,50.62679
32751,2020-02-21,192500,65,Appartement,3.085735,50.630634
32754,2020-02-21,110200,38,Appartement,3.105723,50.627778
32756,2020-01-29,80000,76,Appartement,3.101001,50.624111
32758,2020-02-20,80000,16,Appartement,3.039392,50.632858
32759,2020-02-04,100000,24,Appartement,3.054738,50.627135
32760,2020-02-13,242000,72,Maison,3.085744,50.656648
32761,2020-02-18,149000,43,Appartement,3.063442,50.622615
32763,2020-01-28,97000,41,Appartement,3.062145,50.62206
32765,2020-02-13,128350,33,Appartement,3.062271,50.647323
32770,2020-02-04,142000,48,Appartement,3.092144,50.644033
32771,2020-02-05,291960,113,Maison,3.119373,50.632952
32775,2020-02-12,269000,67,Appartement,3.071821,50.622802
32778,2020-02-25,80000,51,Maison,3.043532,50.621362
32779,2020-02-04,170000,77,Appartement,3.070333,50.620754
32780,2020-02-03,106000,32,Appartement,3.055876,50.623872
32781,2020-02-24,70000,51,Maison,3.043532,50.621362
32783,2020-02-20,131000,60,Appartement,3.071474,50.618181
32784,2020-02-12,710750,152,Appartement,3.064166,50.625715
32786,2020-02-25,249000,108,Appartement,3.039323,50.612476
32787,2020-02-25,105000,26,Appartement,3.070673,50.640099
32788,2020-02-18,510000,288,Maison,3.053624,50.62446
32789,2020-02-14,250000,93,Maison,3.088936,50.64491
32791,2020-02-03,347000,110,Appartement,3.061941,50.629348
32793,2020-02-05,229000,97,Appartement,3.084418,50.649584
32794,2020-01-31,154000,40,Appartement,3.063887,50.633038
32795,2020-02-24,293000,114,Appartement,3.092144,50.644033
32799,2020-02-26,229000,70,Appartement,3.06549,50.612929
32800,2020-02-14,142000,33,Appartement,3.055357,50.637598
32802,2020-02-14,265000,91,Appartement,3.062191,50.624825
32805,2020-02-19,345000,140,Maison,3.037171,50.627318
32807,2020-02-20,475000,120,Appartement,3.064731,50.63066
32808,2020-02-03,205900,81,Maison,3.092709,50.624448
32812,2020-02-17,416300,104,Maison,3.062777,50.624943
32813,2020-02-11,151500,51,Appartement,3.052226,50.621585
32816,2020-02-13,150000,46,Appartement,3.071359,50.63331
32817,2020-02-21,147770,70,Appartement,3.087943,50.64909
32818,2020-02-10,130983,57,Appartement,3.025651,50.631416
32820,2020-02-21,395000,21,Appartement,3.040732,50.632971
32821,2020-02-21,395000,18,Appartement,3.040732,50.632971
32822,2020-02-21,395000,21,Appartement,3.040732,50.632971
32823,2020-02-21,395000,21,Appartement,3.040732,50.632971
32824,2020-02-13,230000,83,Appartement,3.047896,50.63225
32827,2020-01-30,107500,72,Appartement,3.08529,50.64471
32829,2020-02-27,184000,83,Maison,3.085667,50.635965
32830,2020-02-27,226900,88,Maison,3.092821,50.621592
32831,2020-02-19,151000,67,Maison,3.112842,50.634025
32833,2020-02-26,116000,67,Appartement,3.088772,50.633824
32834,2020-02-27,95000,37,Appartement,3.03158,50.622774
32835,2020-02-17,105000,39,Appartement,3.095083,50.632143
32836,2020-02-18,118000,39,Appartement,3.060061,50.620912
32838,2020-02-14,184000,69,Appartement,3.057632,50.61189
32839,2020-02-28,266000,126,Maison,3.042676,50.622125
32840,2020-02-27,157500,49,Appartement,3.057828,50.647254
32842,2020-02-25,126000,48,Appartement,3.030836,50.622647
32843,2020-02-13,220000,44,Appartement,3.0524,50.63735
32850,2020-02-25,136000,60,Appartement,3.086995,50.637882
32851,2020-03-02,289020,86,Appartement,3.050109,50.626799
32852,2020-02-24,110000,26,Appartement,3.057639,50.629977
32853,2020-02-24,224500,102,Maison,3.027799,50.61802
32855,2020-02-28,545000,37,Appartement,3.04049,50.626754
32857,2020-02-28,545000,37,Appartement,3.04049,50.626754
32860,2020-02-19,248400,72,Maison,3.092615,50.645953
32868,2020-01-13,161000,65,Appartement,3.068539,50.618561
32869,2020-02-27,440000,88,Maison,3.093394,50.640144
32870,2020-02-19,83177,25,Appartement,3.050536,50.625418
32873,2020-02-07,670000,10,Appartement,3.091317,50.643323
32874,2020-02-07,670000,10,Appartement,3.091317,50.643323
32875,2020-02-07,670000,10,Appartement,3.091317,50.643323
32876,2020-02-07,670000,10,Appartement,3.091317,50.643323
32877,2020-02-07,670000,10,Appartement,3.091317,50.643323
32878,2020-02-07,670000,10,Appartement,3.091317,50.643323
32879,2020-02-07,670000,10,Appartement,3.091317,50.643323
32880,2020-02-07,670000,10,Appartement,3.091317,50.643323
32881,2020-02-07,670000,10,Appartement,3.091317,50.643323
32882,2020-02-07,670000,10,Appartement,3.091317,50.643323
32883,2020-02-07,670000,10,Appartement,3.091317,50.643323
32884,2020-02-07,670000,10,Appartement,3.091317,50.643323
32885,2020-02-07,670000,10,Appartement,3.091317,50.643323
32886,2020-02-04,265000,49,Appartement,3.056691,50.623696
32887,2020-02-04,265000,38,Appartement,3.056691,50.623696
32888,2020-02-17,435000,132,Maison,3.074991,50.623559
32889,2020-02-07,69860,33,Appartement,3.061548,50.624055
32891,2020-02-06,265280,65,Appartement,3.055024,50.646818
32895,2020-02-25,157000,77,Maison,3.09202,50.640283
32897,2020-02-07,169000,55,Appartement,3.049355,50.629546
32898,2020-02-07,67760,20,Appartement,3.057428,50.626785
32900,2020-02-05,160000,70,Appartement,3.034511,50.622012
32901,2020-02-10,110000,45,Appartement,3.058188,50.638531
32902,2020-02-28,236000,101,Maison,3.098041,50.633023
32904,2020-02-13,162000,50,Appartement,3.084937,50.638551
32905,2020-02-20,183000,82,Maison,3.099434,50.620268
32906,2020-02-11,828235,225,Maison,3.063779,50.627484
32908,2020-02-17,147500,45,Appartement,3.029352,50.634624
32910,2020-02-21,135500,56,Appartement,3.032087,50.635547
32911,2020-03-02,618115,110,Maison,3.052232,50.646389
32912,2020-03-04,475500,20,Appartement,3.042944,50.633955
32913,2020-03-04,475500,35,Appartement,3.042944,50.633955
32914,2020-03-04,475500,20,Appartement,3.042944,50.633955
32915,2020-03-04,475500,20,Appartement,3.042944,50.633955
32916,2020-02-27,38000,18,Appartement,3.059048,50.618154
32918,2020-02-27,137000,47,Appartement,3.092144,50.644033
32920,2020-02-19,159160,73,Appartement,3.067571,50.623347
32921,2020-03-02,198000,108,Maison,3.100817,50.622323
32922,2020-02-14,89100,23,Appartement,3.057687,50.626159
32924,2020-02-25,100000,22,Appartement,3.03625,50.624107
32925,2020-02-28,70000,33,Appartement,3.058637,50.624723
32926,2020-03-04,236000,84,Appartement,3.071482,50.632898
32928,2020-02-07,110000,26,Appartement,3.0435,50.627687
32929,2020-02-25,200000,25,Appartement,3.055099,50.624299
32930,2020-02-25,200000,58,Appartement,3.055099,50.624299
32931,2020-02-25,200000,37,Appartement,3.055099,50.624299
32934,2020-02-27,260550,36,Appartement,3.02345,50.63739
32935,2020-02-27,260550,56,Appartement,3.02345,50.63739
32936,2020-02-19,62000,26,Appartement,3.029629,50.617209
32937,2020-02-13,60000,36,Appartement,3.046193,50.635354
32939,2020-02-10,106000,13,Appartement,3.068539,50.618561
32940,2020-02-10,106000,16,Appartement,3.068539,50.618561
32941,2020-02-18,73600,55,Appartement,3.091819,50.636541
32943,2020-02-27,100000,31,Appartement,3.066172,50.625532
32944,2020-02-28,499000,107,Appartement,3.057903,50.634223
32945,2020-02-24,149000,56,Appartement,3.071434,50.622953
32947,2020-02-21,219600,59,Appartement,3.075904,50.623772
32949,2020-02-14,165300,82,Appartement,3.096686,50.630184
32950,2020-03-04,244000,50,Appartement,3.063546,50.638665
32951,2020-02-25,223400,50,Appartement,3.065301,50.641084
32952,2020-02-11,330000,111,Appartement,3.061862,50.633269
32953,2020-02-17,147000,36,Appartement,3.058862,50.624362
32955,2020-02-25,300000,80,Appartement,3.059671,50.638346
32956,2020-02-20,355000,83,Maison,3.08722,50.648105
32957,2020-02-19,141200,67,Appartement,3.084853,50.63791
32958,2020-02-14,87650,22,Appartement,3.059815,50.622728
32959,2020-02-21,620000,25,Appartement,3.065541,50.635179
32961,2020-02-21,620000,30,Appartement,3.065541,50.635179
32962,2020-02-21,620000,28,Appartement,3.065541,50.635179
32963,2020-02-21,620000,44,Appartement,3.065541,50.635179
32964,2020-02-21,620000,35,Appartement,3.065541,50.635179
32972,2020-02-28,252000,44,Appartement,3.092591,50.622307
32973,2020-02-28,252000,62,Appartement,3.092591,50.622307
32974,2020-02-28,252000,44,Appartement,3.092591,50.622307
32975,2020-02-28,252000,50,Appartement,3.092591,50.622307
32976,2020-02-28,91000,43,Appartement,3.105723,50.627778
32980,2020-02-19,143000,51,Maison,3.05949,50.618203
32981,2020-02-13,184000,72,Maison,3.069586,50.608634
32982,2020-03-05,448500,98,Maison,3.086246,50.637911
32983,2020-02-25,155000,42,Appartement,3.045252,50.629871
32988,2020-02-05,100000,29,Appartement,3.060618,50.623402
32989,2020-02-20,170000,43,Appartement,3.055173,50.632041
32992,2020-02-28,199000,47,Appartement,3.05716,50.647862
32995,2020-02-28,131000,30,Appartement,3.063256,50.633404
32997,2020-03-06,143500,30,Appartement,3.066354,50.642687
32998,2020-03-06,119000,44,Appartement,3.063873,50.626248
32999,2020-02-14,195000,72,Maison,3.071922,50.60851
33000,2020-03-02,317000,42,Appartement,3.047701,50.626735
33003,2020-03-02,209000,67,Appartement,3.088009,50.653388
33005,2020-02-18,112634,47,Appartement,3.056296,50.622098
33006,2020-02-11,395000,151,Appartement,3.0852,50.652871
33008,2020-02-21,221906,64,Appartement,3.070553,50.623925
33010,2020-02-17,340000,90,Appartement,3.062869,50.632544
33012,2020-02-19,210000,73,Appartement,3.041664,50.631263
33013,2020-02-17,360000,130,Appartement,3.066047,50.643533
33015,2020-03-04,213000,54,Appartement,3.055409,50.636024
33017,2020-02-20,85550,36,Appartement,3.105723,50.627778
33019,2020-02-26,183500,48,Appartement,3.059666,50.648226
33023,2020-03-02,67500,19,Appartement,3.088884,50.627366
33025,2020-03-02,162000,56,Appartement,3.087293,50.654454
33027,2020-02-11,443500,165,Maison,3.038077,50.621739
33029,2020-03-04,151560,33,Appartement,3.05716,50.647862
33030,2020-03-03,84000,30,Appartement,3.042885,50.620786
33031,2020-03-06,148000,36,Appartement,3.06549,50.612929
33032,2020-03-05,165000,32,Appartement,3.05619,50.637542
33033,2020-02-12,50000,31,Appartement,3.053746,50.622459
33035,2020-02-25,162000,55,Appartement,3.092144,50.644033
33037,2020-02-27,241500,80,Appartement,3.048629,50.627143
33039,2020-02-26,182000,18,Appartement,3.03701,50.627252
33040,2020-03-06,649150,134,Maison,3.053537,50.634958
33043,2020-03-06,254000,66,Appartement,3.055381,50.642642
33044,2020-03-09,76000,29,Appartement,3.112704,50.631569
33046,2020-02-25,200000,74,Appartement,3.092144,50.644033
33047,2020-03-10,136000,55,Appartement,3.035062,50.629497
33048,2020-03-04,94360,49,Appartement,3.072695,50.618475
33050,2020-02-25,150000,57,Appartement,3.098002,50.631754
33051,2020-03-06,133500,90,Maison,3.092734,50.625186
33053,2020-03-04,249000,45,Appartement,3.066658,50.627137
33057,2020-02-26,106500,44,Appartement,3.090331,50.632496
33059,2020-02-21,160000,72,Maison,3.09411,50.647753
33061,2020-03-04,265000,65,Appartement,3.053723,50.624729
33063,2020-03-09,460000,159,Appartement,3.086491,50.646445
33064,2020-02-21,195000,84,Maison,3.111005,50.6309
33065,2020-03-10,235100,71,Appartement,3.059587,50.643955
33066,2020-03-03,156800,49,Appartement,3.061581,50.619392
33067,2020-03-11,195000,80,Maison,3.112455,50.632218
33069,2020-03-04,145000,33,Appartement,3.046517,50.625689
33071,2020-03-03,164000,36,Appartement,3.053378,50.631756
33072,2020-02-13,87000,34,Maison,3.045923,50.623404
33076,2020-03-03,485000,24,Appartement,3.05406,50.640008
33077,2020-03-03,485000,52,Appartement,3.05406,50.640008
33078,2020-03-03,485000,52,Appartement,3.05406,50.640008
33079,2020-03-09,336217,72,Appartement,3.061534,50.638287
33081,2020-03-06,103500,38,Appartement,3.022492,50.629512
33082,2020-02-20,236500,90,Appartement,3.083515,50.642035
33084,2020-02-26,140000,76,Appartement,3.027077,50.635941
33085,2020-03-06,156000,45,Appartement,3.064157,50.627271
33086,2020-03-11,170850,87,Maison,3.056099,50.606835
33089,2020-03-04,765000,220,Maison,3.05831,50.631961
33091,2020-02-28,184000,67,Appartement,3.033983,50.629022
33093,2020-02-20,284500,89,Appartement,3.086943,50.646122
33094,2020-02-14,312000,68,Appartement,3.05433,50.634975
33096,2020-02-28,260000,61,Appartement,3.05901,50.621122
33097,2020-02-28,260000,45,Appartement,3.05901,50.621122
33098,2020-02-28,260000,61,Appartement,3.05901,50.621122
33099,2020-02-13,367000,131,Appartement,3.0852,50.652871
33101,2020-02-27,116000,23,Appartement,3.057117,50.646199
33104,2020-03-05,205000,50,Appartement,3.071433,50.641408
33105,2020-03-11,90000,27,Appartement,3.064388,50.623409
33106,2020-03-09,143000,32,Appartement,3.052,50.635898
33107,2020-03-11,100000,22,Appartement,3.065049,50.643616
33108,2020-02-17,235000,54,Appartement,3.06729,50.633127
33110,2020-02-21,70000,23,Appartement,3.05529,50.624291
33111,2020-02-21,273200,99,Appartement,3.0852,50.652871
33126,2020-02-24,200000,50,Appartement,3.065527,50.629422
33128,2020-03-09,335000,113,Appartement,3.06968,50.631386
33129,2020-02-28,125000,63,Appartement,3.0852,50.652871
33133,2020-03-04,185000,44,Appartement,3.062611,50.645065
33134,2020-02-14,87000,51,Appartement,3.057066,50.642725
33135,2020-03-05,590000,35,Appartement,3.059766,50.639223
33136,2020-03-05,590000,35,Appartement,3.059766,50.639223
33137,2020-03-05,590000,37,Appartement,3.059766,50.639223
33138,2020-03-05,590000,37,Appartement,3.059766,50.639223
33140,2020-02-15,261200,66,Appartement,3.060427,50.647121
33142,2020-03-06,67550,24,Appartement,3.071039,50.621683
33143,2020-03-09,265000,114,Maison,3.116821,50.63109
33145,2020-03-12,94000,42,Appartement,3.105723,50.627778
33148,2020-03-06,144000,36,Appartement,3.053378,50.631756
33150,2020-03-10,173000,50,Appartement,3.06549,50.612929
33151,2020-02-28,448000,155,Maison,3.084999,50.645173
33152,2020-03-02,104510,23,Appartement,3.068733,50.63244
33153,2020-02-14,140000,36,Appartement,3.04862,50.625386
33154,2020-02-21,158000,65,Maison,3.057352,50.606305
33163,2020-03-06,246000,90,Appartement,3.080827,50.627905
33164,2020-02-26,67500,40,Appartement,3.091819,50.636541
33168,2020-02-20,700000,150,Maison,3.088269,50.649436
33169,2020-02-18,178000,67,Maison,3.088711,50.655393
33177,2020-03-10,155000,60,Appartement,3.084446,50.651233
33178,2020-03-10,175000,34,Appartement,3.055173,50.632041
33179,2020-02-20,189500,34,Appartement,3.059273,50.630548
33182,2020-03-09,297300,24,Appartement,3.060732,50.64377
33183,2020-03-09,297300,36,Appartement,3.060732,50.64377
33184,2020-03-09,122000,43,Appartement,3.063347,50.62705
33185,2020-03-09,230400,89,Appartement,3.066933,50.610221
33187,2020-03-06,148000,72,Maison,3.112736,50.633869
33188,2020-03-11,172000,70,Maison,3.041692,50.622209
33189,2020-03-10,193000,73,Maison,3.10238,50.626984
33190,2020-03-06,332000,127,Maison,3.067889,50.621796
33193,2020-03-05,320000,85,Appartement,3.05622,50.635243
33194,2020-03-11,105000,24,Appartement,3.060697,50.626961
33195,2020-03-04,389000,38,Appartement,3.045651,50.625638
33196,2020-03-04,389000,32,Appartement,3.045651,50.625638
33197,2020-03-04,389000,38,Appartement,3.045651,50.625638
33198,2020-03-04,389000,38,Appartement,3.045651,50.625638
33201,2020-02-20,78240,23,Appartement,3.064197,50.619385
33202,2020-03-10,148000,36,Appartement,3.053378,50.631756
33205,2020-03-10,119300,30,Appartement,3.058992,50.630865
33208,2020-02-25,65000,51,Appartement,3.055903,50.624024
33211,2020-03-13,170000,85,Maison,3.111499,50.624832
33212,2020-03-11,106000,56,Appartement,3.032087,50.635547
33213,2020-03-13,400000,102,Maison,3.106663,50.628311
33215,2020-03-10,157300,30,Maison,3.09216,50.649791
33216,2020-03-10,157300,30,Maison,3.092196,50.64976
33217,2020-03-10,157300,30,Maison,3.092224,50.649726
33218,2020-03-06,90000,39,Appartement,3.083866,50.636266
33219,2020-02-27,275000,100,Maison,3.030438,50.633638
33220,2020-03-06,190000,89,Maison,3.05033,50.619132
33221,2020-03-05,600000,68,Appartement,3.038585,50.624888
33223,2020-03-05,600000,68,Appartement,3.038585,50.624888
33224,2020-03-05,600000,68,Appartement,3.038585,50.624888
33226,2020-03-14,133050,30,Appartement,3.059962,50.630876
33228,2020-02-17,125000,35,Appartement,3.083608,50.638995
33229,2020-03-12,92500,35,Appartement,3.054817,50.623917
33230,2020-03-12,355000,12,Appartement,3.085874,50.636782
33231,2020-03-12,355000,12,Appartement,3.085874,50.636782
33232,2020-03-12,355000,12,Appartement,3.085874,50.636782
33233,2020-03-12,355000,16,Appartement,3.085874,50.636782
33234,2020-03-12,355000,13,Appartement,3.085874,50.636782
33235,2020-03-12,355000,13,Appartement,3.085874,50.636782
33238,2020-03-04,405000,84,Appartement,3.056607,50.628526
33239,2020-03-04,278000,72,Appartement,3.069954,50.639753
33241,2020-03-04,130000,52,Appartement,3.092144,50.644033
33242,2020-02-27,142000,37,Appartement,3.058188,50.638531
33245,2020-03-13,105500,30,Appartement,3.043254,50.623328
33247,2020-03-13,225000,49,Appartement,3.058562,50.645227
33248,2020-03-10,174000,42,Appartement,3.066335,50.635665
33249,2020-03-03,147150,70,Appartement,3.087943,50.64909
33251,2020-02-18,90000,31,Appartement,3.054335,50.644444
33252,2020-02-28,160000,40,Appartement,3.062752,50.628115
33256,2020-03-04,275000,71,Appartement,3.066626,50.636748
33257,2020-02-28,77000,23,Appartement,3.035202,50.621718
33258,2020-02-25,335080,50,Appartement,3.058985,50.639479
33260,2020-03-09,408400,91,Appartement,3.055515,50.647329
33262,2020-03-06,130000,84,Maison,3.090585,50.630231
33264,2020-03-09,210000,66,Appartement,3.06263,50.625342
33266,2020-03-10,205000,77,Appartement,3.057066,50.642725
33267,2020-03-02,145000,111,Maison,3.064104,50.613271
33268,2020-03-03,90000,29,Appartement,3.071537,50.622685
33272,2020-03-03,141000,60,Appartement,3.05146,50.632754
33274,2020-03-05,83000,19,Appartement,3.063841,50.62944
33275,2020-03-12,154000,55,Appartement,3.10492,50.628297
33276,2020-02-27,101000,33,Appartement,3.054361,50.624088
33277,2020-02-26,77000,28,Appartement,3.057617,50.620094
33279,2020-03-09,180000,88,Maison,3.106187,50.632514
33280,2020-03-13,200900,70,Maison,3.11292,50.627135
33281,2020-02-21,490000,99,Appartement,3.060629,50.643477
33283,2020-03-03,270000,64,Appartement,3.05938,50.629711
33284,2020-03-04,125000,55,Appartement,3.063214,50.619404
33285,2020-03-10,207750,60,Appartement,3.053242,50.632347
33287,2020-03-03,91000,42,Appartement,3.09357,50.623665
33288,2020-03-09,215800,72,Maison,3.102615,50.633059
33289,2020-02-18,105000,32,Appartement,3.065792,50.625056
33291,2020-03-13,283050,88,Appartement,3.080861,50.625087
33293,2020-03-04,230000,127,Maison,3.088267,50.638206
33294,2020-03-11,150000,43,Appartement,3.061596,50.638689
33295,2020-03-03,102500,82,Maison,3.111343,50.624628
33296,2020-03-17,200560,48,Appartement,3.059402,50.647499
33298,2020-03-11,156000,49,Appartement,3.064612,50.633579
33299,2020-03-03,296000,80,Appartement,3.059402,50.647499
33301,2020-02-24,139000,72,Maison,3.071606,50.608686
33302,2020-03-03,276050,75,Appartement,3.063835,50.632242
33304,2020-03-10,167000,65,Appartement,3.033295,50.623816
33306,2020-03-12,345000,32,Appartement,3.059378,50.643648
33308,2020-02-19,97000,46,Appartement,3.057066,50.642725
33309,2020-02-28,170000,41,Appartement,3.077826,50.640187
33311,2020-03-16,227000,26,Appartement,3.055813,50.620654
33312,2020-03-16,227000,47,Appartement,3.055813,50.620654
33313,2020-03-16,227000,22,Appartement,3.055813,50.620654
33314,2020-03-11,140000,28,Appartement,3.041846,50.625322
33315,2020-03-09,242500,76,Appartement,3.039129,50.623623
33317,2020-02-26,180000,72,Maison,3.09585,50.62261
33318,2020-03-17,146000,63,Appartement,3.09113,50.641682
33320,2020-03-13,161321,58,Appartement,3.092144,50.644033
33321,2020-03-06,65000,34,Appartement,3.063114,50.622139
33322,2020-02-21,305000,62,Appartement,3.068571,50.63287
33323,2020-02-21,305000,3,Appartement,3.068571,50.63287
33324,2020-02-21,305000,52,Appartement,3.068571,50.63287
33326,2020-03-13,180000,50,Maison,3.10202,50.63257
33327,2020-02-21,450000,126,Appartement,3.063122,50.632876
33328,2020-02-28,185000,66,Appartement,3.092144,50.644033
33330,2020-03-03,116000,49,Appartement,3.055279,50.632707
33331,2020-03-11,600000,35,Appartement,3.057572,50.646654
33332,2020-03-11,600000,35,Appartement,3.057572,50.646654
33333,2020-03-11,600000,35,Appartement,3.057572,50.646654
33334,2020-03-11,600000,35,Appartement,3.057572,50.646654
33335,2020-03-11,600000,45,Appartement,3.057572,50.646654
33338,2020-03-13,126000,46,Appartement,3.07524,50.621223
33341,2020-02-21,80000,19,Appartement,3.035047,50.628771
33342,2020-03-05,200000,40,Appartement,3.08751,50.644322
33343,2020-03-05,200000,35,Appartement,3.08751,50.644322
33344,2020-03-05,200000,37,Appartement,3.08751,50.644322
33346,2020-03-14,301900,75,Maison,3.095658,50.64813
33347,2020-03-06,225000,81,Maison,3.11468,50.629342
33348,2020-02-18,105500,38,Appartement,3.069967,50.62038
33349,2020-03-02,145000,80,Maison,3.116266,50.628189
33351,2020-03-13,195000,42,Appartement,3.059671,50.638346
33353,2020-03-06,75000,18,Appartement,3.041694,50.632487
33357,2020-03-16,218150,80,Appartement,3.088294,50.644866
33358,2020-03-10,155000,28,Appartement,3.063967,50.637475
33359,2020-03-16,505000,140,Appartement,3.062752,50.628115
33362,2020-03-13,189000,46,Appartement,3.049811,50.630683
33363,2020-03-13,415000,128,Appartement,3.088463,50.652766
33367,2020-03-16,145000,80,Maison,3.099896,50.633854
33368,2020-03-04,167000,86,Maison,3.100894,50.619352
33369,2020-03-19,195000,81,Maison,3.091953,50.623851
33371,2020-02-28,150000,37,Appartement,3.05426,50.630913
