,rowid,date_mutation,longitude,latitude
14724,31895,2020-01-14,3.053083,50.628678
14725,31896,2020-01-14,3.053083,50.628678
14726,31901,2020-01-15,3.088217,50.65596
14727,31903,2020-01-20,3.042885,50.620786
14728,31904,2020-01-16,3.042171,50.633542
14729,31905,2020-01-16,3.042171,50.633542
14730,31906,2020-01-07,3.048599,50.628907
14731,31908,2020-01-03,3.037233,50.628901
14732,31909,2020-01-20,3.073652,50.620153
14733,31912,2020-01-06,3.053586,50.621458
14734,31913,2020-01-17,3.039392,50.632858
14735,31916,2020-01-20,3.101902,50.634308
14736,31918,2020-01-20,3.101902,50.634308
14737,31919,2020-01-20,3.101902,50.634308
14738,31920,2020-01-20,3.101902,50.634308
14739,31921,2020-01-20,3.101902,50.634308
14740,31922,2020-01-20,3.101902,50.634308
14741,31923,2020-01-10,3.05426,50.630913
14742,31924,2020-01-20,3.068907,50.63402
14743,31926,2020-01-17,3.06683,50.628422
14744,31935,2020-01-23,3.066172,50.625532
14745,31938,2020-01-09,3.047911,50.622707
14746,31940,2020-01-09,3.047911,50.622707
14747,31941,2020-01-06,3.063729,50.633929
14748,31943,2020-01-14,3.060252,50.628031
14749,31945,2020-01-17,3.060162,50.644758
14750,31948,2020-01-20,3.084418,50.649584
14751,31949,2020-01-10,3.036943,50.629218
14752,31951,2020-01-20,3.041664,50.631263
14753,31957,2020-01-21,3.100014,50.632962
14754,31958,2020-01-03,3.066935,50.636391
14755,31959,2020-01-03,3.05776,50.627282
14756,31960,2020-01-03,3.05776,50.627282
14757,31961,2020-01-03,3.05776,50.627282
14758,31962,2020-01-03,3.05776,50.627282
14759,31963,2020-01-22,3.057058,50.627232
14760,31965,2020-01-06,3.080861,50.625087
14761,31967,2020-01-07,3.055788,50.623208
14762,31969,2020-01-06,3.061908,50.648026
14763,31970,2020-01-06,3.090302,50.645177
14764,31971,2020-01-06,3.090302,50.645177
14765,31972,2020-01-06,3.090302,50.645177
14766,31977,2020-01-10,3.048377,50.633307
14767,31980,2020-01-17,3.05764,50.625319
14768,31982,2020-01-10,3.071433,50.641408
14769,31984,2020-01-09,3.06573,50.638357
14770,31991,2020-01-08,3.053043,50.644089
14771,31994,2020-01-22,3.057066,50.642725
14772,31996,2020-01-17,3.060634,50.640811
14773,31997,2020-01-20,3.086703,50.632468
14774,31998,2020-01-09,3.037862,50.624233
14775,31999,2020-01-09,3.037862,50.624233
14776,32000,2020-01-09,3.037862,50.624233
14777,32001,2020-01-06,3.067592,50.634118
14778,32002,2020-01-06,3.067592,50.634118
14779,32003,2020-01-08,3.104452,50.626641
14780,32005,2020-01-17,3.043099,50.634452
14781,32007,2020-01-07,3.056032,50.645904
14782,32011,2020-01-13,3.065274,50.643444
14783,32012,2020-01-24,3.033983,50.629022
14784,32016,2020-01-13,3.081404,50.638543
14785,32018,2020-01-15,3.061014,50.62953
14786,32019,2020-01-06,3.067592,50.634118
14787,32020,2020-01-06,3.067592,50.634118
14788,32021,2020-01-06,3.067592,50.634118
14789,32022,2020-01-06,3.067592,50.634118
14790,32023,2020-01-06,3.067592,50.634118
14791,32024,2020-01-06,3.067592,50.634118
14792,32025,2020-01-06,3.067592,50.634118
14793,32026,2020-01-06,3.067592,50.634118
14794,32028,2020-01-24,3.05863,50.636079
14795,32029,2020-01-23,3.08636,50.638462
14796,32033,2020-01-24,3.092144,50.644033
14797,32035,2020-01-20,3.058985,50.639479
14798,32037,2020-01-07,3.057201,50.628156
14799,32041,2020-01-08,3.080153,50.620828
14800,32045,2020-01-16,3.071484,50.623569
14801,32046,2020-01-24,3.086306,50.653744
14802,32048,2020-01-15,3.080417,50.64144
14803,32049,2020-01-14,3.071814,50.628908
14804,32050,2020-01-14,3.050839,50.631582
14805,32057,2020-01-13,3.059207,50.633675
14806,32060,2020-01-22,3.08003,50.628649
14807,32062,2020-01-14,3.018983,50.635795
14808,32068,2020-01-17,3.053186,50.631186
14809,32069,2020-01-02,3.054604,50.634335
